# Samsung SM-S928B (e3q) vendor-DLKM KMI CRC baseline
# Firmware: S928BXXS6DZG1; kernel: 6.1.145-android14-11-33419968-abS928BXXS6DZG1
# Captured over rooted ADB on 2026-08-09 from 351 persistent vendor_dlkm modules.
# Includes kernel-KMI imports present in Android 14/6.1 2025-09 ABI lists.
# Device audit: 0 kernel CRC conflicts; 0 DLKM export conflicts; 0 importer/provider mismatches.
# symbol	crc	modules
___drm_dbg	0x7e3277f8	drm_display_helper;msm_drm
___pskb_trim	0x45b20f13	mac80211;rmnet_core
___ratelimit	0x1d24c881	audio_pkt_dlkm;camera;cfg80211;coresight_tmc;drm_display_helper;dropdump;gh_irq_lend;glink_pkt;gpr_dlkm;gsim;hdmi_dlkm;health_monitor;hvc_gunyah;input_booster_lkm;ipam;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;lpass_cdc_tx_macro_dlkm;lpass_cdc_va_macro_dlkm;lpass_cdc_wsa2_macro_dlkm;lpass_cdc_wsa_macro_dlkm;mac80211;machine_dlkm;msm_drm;msm_eva;msm_kgsl;msm_sharedmem;msm_video;pinctrl_lpi_dlkm;pm8941_pwrkey;q6_notifier_dlkm;qca_cld3_kiwi_v2;qcom_glink;qcom_iommu_debug;qcom_spmi_adc5_gen3;qcom_spmi_wled;qrtr_smd;qseecom_proxy;qti_amoled_ecm;qti_ocp_notifier;sdhci_msm_sec;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_event_dlkm;snd_soc_cs35l43_i2c;spf_core_dlkm;sps_drv;swr_ctrl_dlkm;swr_dlkm;swr_dmic_dlkm;swr_haptics_dlkm;ubwcp;usb_f_gsi;usb_notify_layer;wcd938x_dlkm;wcd938x_slave_dlkm;wcd939x_dlkm;wcd939x_slave_dlkm;wcd9xxx_dlkm;wcd_core_dlkm;wsa883x_dlkm;wsa884x_dlkm
__alloc_pages	0x7870d49b	camera;coresight_tmc;ipam;msm_kgsl;qcom_iommu_debug;rmnet_core;rmnet_mem;sg
__alloc_percpu	0x29f93135	coresight;rmnet_core;rmnet_shs
__alloc_percpu_gfp	0x7900fd25	mac80211;ssg
__alloc_skb	0x19dd35ba	adsp_factory_module;audio_pkt_dlkm;cfg80211;cnss2;dev_ril_bridge;dropdump;glink_pkt;ipam;mac80211;msm_sysstats;qca_cld3_kiwi_v2;rmnet_aps;rmnet_core;rmnet_ctl;rmnet_mem;rmnet_perf_tether;rmnet_shs;rmnet_wlan
__arch_clear_user	0x4d296494	camera
__arch_copy_from_user	0x2be0c009	adsp_sleepmon;camera;cnss_utils;dev_ril_bridge;fingerprint;frpc_adsprpc;glink_pkt;gsim;input_cs40l26_i2c;ipam;kperfmon;mhi_dev_uci;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;msm_video;nb7vpq904m;nfc_nxp_sec;pci_msm_drv;pdic_max77705;pdic_notifier_module;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_iommu_debug;qseecom_dlkm;rdbg;sec_battery;sec_common_fn;sec_pon_alarm;sec_rdx_bootdev;sec_vibrator_inputff_module;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_soc_wm_adsp;snvm;spcom;sps_drv;spss_utils;stm_core;stm_ts_spi;stmvl53l8;swr_ctrl_dlkm;sync_fence;synx_driver;thermal_config;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;uwb;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wsa883x_dlkm;wsa884x_dlkm
__arch_copy_to_user	0x9a85eebb	audio_pkt_dlkm;btpower;camera;coresight_tmc;coresight_tmc_sec;dev_ril_bridge;dmesg_dumper;fingerprint;frpc_adsprpc;glink_pkt;ipam;kperfmon;mhi_dev_uci;msm_drm;msm_hw_fence;msm_kgsl;nfc_nxp_sec;pdic_max77705;pdic_notifier_module;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_stats;qseecom_dlkm;radio_i2c_rtc6226_qca;rdbg;sec_battery;sec_common_fn;sec_pon_alarm;sec_qc_user_reset;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_debug_proc;snd_soc_cs35l45_i2c;snd_soc_wm_adsp;snvm;spcom;spss_utils;stm_core;stm_ts_spi;stmvl53l8;swr_ctrl_dlkm;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;uwb;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wsa883x_dlkm;wsa884x_dlkm
__arm_smccc_sve_check	0x3d93c7c2	gh_ctrl
__bitmap_and	0xeca957d1	at803x;qca_cld3_kiwi_v2
__bitmap_andnot	0xf390f6f1	qca_cld3_kiwi_v2
__bitmap_clear	0x922f45a6	camera;coresight_stm;pci_msm_drv
__bitmap_complement	0x7c173634	qca_cld3_kiwi_v2
__bitmap_equal	0x06d11488	qca_cld3_kiwi_v2
__bitmap_intersects	0x48d27375	qca_cld3_kiwi_v2
__bitmap_or	0xa084749a	coresight_cti;qca_cld3_kiwi_v2
__bitmap_set	0x615911d7	camera;msm_kgsl;pci_msm_drv
__bitmap_subset	0x3221df67	sdhci_msm_sec
__bitmap_weight	0x21ea5251	c1dcvs_scmi_v2;gh_rm_booster;machine_dlkm;memlat;msm_drm;msm_lmh_dcvs;qca_cld3_kiwi_v2;qcom_glink;rmnet_shs;sdhci_msm_sec;sec_qc_hw_param;stm_ftrace
__blk_req_zone_write_lock	0xbbb4dd71	ssg
__blk_req_zone_write_unlock	0x71e52f16	ssg
__check_object_size	0x88db9f48	audio_pkt_dlkm;camera;cnss_utils;coresight_tmc;coresight_tmc_sec;dev_ril_bridge;dmesg_dumper;frpc_adsprpc;glink_pkt;gsim;input_cs40l26_i2c;ipam;kperfmon;mhi_dev_uci;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;msm_video;nb7vpq904m;nfc_nxp_sec;pci_msm_drv;pdic_max77705;pdic_notifier_module;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_iommu_debug;qcom_stats;qseecom_dlkm;radio_i2c_rtc6226_qca;rdbg;sec_battery;sec_common_fn;sec_qc_user_reset;sec_rdx_bootdev;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_debug_proc;snd_soc_cs35l45_i2c;snd_soc_wm_adsp;snvm;spcom;sps_drv;spss_utils;stm_core;swr_ctrl_dlkm;sync_fence;synx_driver;thermal_config;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;uwb;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wsa883x_dlkm;wsa884x_dlkm
__class_create	0x13f8371b	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;bt_fm_slim;btpower;camera;coresight_tmc;coresight_tmc_sec;fingerprint;fingerprint_sysfs;frpc_adsprpc;glink_pkt;health_monitor;input_booster_lkm;ipam;lcd;mhi_dev_uci;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;pdic_max77705;pmic_class;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_ramdump;qcom_stats;qrng_dlkm;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;sec_audio_sysfs;sec_switch_class;sec_vibrator_inputff_module;sensors_core;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_soc_cirrus_amp;spcom;sps_drv;spss_utils;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_gsi;usb_notify_layer;vibrator_vib_info
__class_register	0x290df2c0	cfg80211;hwmon;msm_drm;qti_qmi_ss_cdev;stm_core
__clk_get_name	0xc569d8ce	msm_drm
__clk_is_enabled	0xc6a4a872	lpass_cdc_dlkm;msm_drm;msm_eva;msm_kgsl;msm_video;spf_core_dlkm
